Place,Username,Points,Victories,Games,Kills,Deaths,Beds,Teams Eliminated,Winstreak,Country
240,gotnumb,1379660,3434,5878,40526,11161,4738,4145,0,Italy

241,Rpse,1377415,3500,10438,25793,33298,3766,2645,0,Russia

242,Sadncss,1376145,3773,7557,22374,19640,4141,2244,0,United States

243,Code_07,1373960,3422,5367,35366,13601,5740,5613,7,Italy

244,zlurqzi,1366270,3790,4439,23534,6049,4154,4812,27,None

245,8300,1365535,3323,8634,36212,22482,4264,3323,2,None

246,BadBuggyAal,1362850,3871,10509,19549,23080,2136,1861,1,None

247,BoardingHacks,1348275,3804,4440,30060,9304,3977,3659,0,None

248,mahru,1339960,3505,3652,29564,4532,6132,5176,68,South Korea

249,Sciency,1335960,3325,5438,41608,14380,3511,3616,1,None

250,IKnowImHaunted,1332730,3085,8513,27317,25766,3958,3392,2,United Kingdom

251,S03B,1330745,3651,4320,31961,7522,2950,4646,32,None

252,krisssyy,1322310,3946,5128,19326,10956,3226,2472,1,United States

253,Doniique,1321515,3569,4980,28947,10892,4196,3298,21,Poland

254,Abdullah_j2705,1321325,3320,5047,28578,12776,6258,4227,2,None

255,Aylq,1319495,3870,4915,30069,11031,4003,3659,0,None

256,Axees,1310870,3172,7739,32492,35396,4306,3207,0,None

257,Alterrnative,1309315,3200,8651,28304,21428,5960,4631,2,None

258,TokyoJapan,1305730,3138,4591,44905,9735,8355,7752,0,None

259,HalaCats,1298925,3621,5121,29871,23653,5091,4035,2,United Kingdom

260,Aimbqt,1298475,3780,5278,24988,8271,2683,3071,0,None

261,gaywonton,1288130,3474,6980,18296,12721,1998,3462,0,Canada

262,sofqbear,1286585,3402,6896,27622,16298,5057,3449,0,Germany

263,GANGMEMBERLOAH,1284700,3571,5369,20805,7030,2890,2869,4,United States

264,_Christina,1279545,3503,5861,22695,15100,2638,3688,0,None

265,iKaidu,1272970,3164,7318,25494,17839,3118,2871,2,Syria

266,jushik,1270565,3440,5248,26585,9386,3479,3645,15,None

267,Zoom315,1269030,3158,4444,39399,6283,6904,6420,0,None

268,sp0rtacus,1264030,3436,4768,25377,19749,2050,3279,2,United Kingdom

269,SkyFallen_,1263300,3608,4432,24233,6029,3703,3387,7,None

270,Jcnny,1263060,3422,4056,24499,6558,3171,3308,33,None

271,Shizenkai,1256565,3236,4005,28823,7043,8596,7580,17,Canada

272,Ceros,1256325,3564,4106,25542,9496,4495,3627,4,United Kingdom

273,Heterosexually,1254470,3778,4748,18113,6241,2638,2210,6,None

